Frequency_Hz,Power_dB
0,-99.77713939067326
76.2939453125,-107.37533298099481
152.587890625,-142.51934475162375
228.8818359375,-142.4139051475096
305.17578125,-142.27073102473193
381.4697265625,-142.0901899890037
457.763671875,-141.87269622498303
534.0576171875,-141.62450301841716
610.3515625,-141.3743600043628
686.6455078125,-141.24278849998487
762.939453125,-141.8593447874158
839.2333984375,-153.45431911695277
915.52734375,-110.15900102983588
991.8212890625,-100.72404628419612
1068.115234375,-106.6521758422195
1144.4091796875,-135.6535132793603
1220.703125,-143.89922909734247
1296.9970703125,-145.08237349533215
1373.291015625,-144.6334068791322
1449.5849609375,-143.89170828867645
1525.87890625,-143.13221402062047
1602.1728515625,-142.44481747565553
1678.466796875,-142.00972367435958
1754.7607421875,-142.75048242289745
1831.0546875,-158.82344567782047
1907.3486328125,-113.29529639580996
1983.642578125,-101.96922957592469
2059.9365234375,-106.2373302105219
2136.23046875,-131.21725412243939
2212.5244140625,-146.67138219505836
2288.818359375,-150.83534534182905
2365.1123046875,-150.0802068053304
2441.40625,-148.5407581036152
2517.7001953125,-147.06572695931447
2593.994140625,-145.81115538817303
2670.2880859375,-144.93009524850171
2746.58203125,-145.2420215969031
2822.8759765625,-155.49534157591825
2899.169921875,-119.60413774416038
2975.4638671875,-106.13409258908447
3051.7578125,-108.84036269594333
3128.0517578125,-130.0088411713921
3204.345703125,-146.64660932839422
3280.6396484375,-149.64841449319516
3356.93359375,-148.70469476085003
3433.2275390625,-147.27480479238946
3509.521484375,-145.84303898405756
3585.8154296875,-144.56653172078478
3662.109375,-143.6606032514759
3738.4033203125,-144.12559250860926
3814.697265625,-167.60383319942764
3890.9912109375,-119.66873797140677
3967.28515625,-103.9790325131315
4043.5791015625,-105.07863556820304
4119.873046875,-123.64871361529696
4196.1669921875,-147.5741049456603
4272.4609375,-162.2152652902449
4348.7548828125,-162.24208088281185
4425.048828125,-161.33540674811735
4501.3427734375,-155.08540068134022
4577.63671875,-151.04357026631638
4653.9306640625,-148.72921245725968
4730.224609375,-149.29751074181058
4806.5185546875,-148.07227477831367
4882.8125,-120.40869267487582
4959.1064453125,-102.5572365594487
5035.400390625,-101.99287197666237
5111.6943359375,-118.4518825713516
5187.98828125,-148.32629714596152
5264.2822265625,-140.6159421393396
5340.576171875,-139.6217884804676
5416.8701171875,-139.4295184641457
5493.1640625,-139.18785381187337
5569.4580078125,-138.79054669385536
5645.751953125,-138.44873319194627
5722.0458984375,-139.18517230834186
5798.33984375,-147.78010307260593
5874.6337890625,-118.2722604876869
5950.927734375,-97.1587021447438
6027.2216796875,-95.08774241103895
6103.515625,-109.02854370340785
6179.8095703125,-142.4241352069058
6256.103515625,-137.71290024627942
6332.3974609375,-136.5047256737277
6408.69140625,-136.9783419448222
6484.9853515625,-137.78285424158557
6561.279296875,-138.65533193855111
6637.5732421875,-139.5037636009283
6713.8671875,-140.1734632003964
6790.1611328125,-139.87457138206278
6866.455078125,-133.6271984201838
6942.7490234375,-114.17064346524225
7019.04296875,-109.93651801148134
7095.3369140625,-122.8504752630967
7171.630859375,-144.1880251690532
7247.9248046875,-140.8971827572288
7324.21875,-140.89995854861047
7400.5126953125,-141.31464489777562
7476.806640625,-141.8220325121789
7553.1005859375,-142.35264994274394
7629.39453125,-142.8547525828455
7705.6884765625,-143.13446516862393
7781.982421875,-142.22137593952968
7858.2763671875,-135.32730971974553
7934.5703125,-110.07606156999435
8010.8642578125,-104.53902072545775
8087.158203125,-114.81187759083
8163.4521484375,-146.98248742967712
8239.74609375,-140.92423449571663
8316.0400390625,-140.54013886474823
8392.333984375,-140.6945698560814
8468.6279296875,-140.9399294298112
8544.921875,-141.1880729191783
8621.2158203125,-141.41359028118882
8697.509765625,-141.58726181477633
8773.8037109375,-141.57522578445042
8850.09765625,-140.3407429817394
8926.3916015625,-114.06065849687003
9002.685546875,-106.7099348875139
9078.9794921875,-115.23023290428534
9155.2734375,-142.82245768715487
9231.5673828125,-141.58110852107473
9307.861328125,-141.4685567543758
9384.1552734375,-141.47723156955817
9460.44921875,-141.49277079227875
9536.7431640625,-141.49431703953235
9613.037109375,-141.48470201893122
9689.3310546875,-141.49852014528935
9765.625,-141.71956557984666
9841.9189453125,-143.8008980010318
9918.212890625,-117.19842031122184
9994.5068359375,-108.00525636341251
10070.80078125,-114.78607635955443
10147.0947265625,-139.82579904349814
10223.388671875,-142.32882436379805
10299.6826171875,-142.55634946850063
10375.9765625,-142.43780113489206
10452.2705078125,-142.23855609379433
10528.564453125,-142.01281680081297
10604.8583984375,-141.78951433906434
10681.15234375,-141.65125722987403
10757.4462890625,-142.0103303365126
10833.740234375,-146.964462261508
10910.0341796875,-118.31210260094564
10986.328125,-107.29327591085408
11062.6220703125,-112.30595801966533
11138.916015625,-135.95514168977604
11215.2099609375,-143.52458972453587
11291.50390625,-144.62484592617983
11367.7978515625,-144.43117485424042
11444.091796875,-143.9752387895045
11520.3857421875,-143.46896032373812
11596.6796875,-142.9829955893043
11672.9736328125,-142.64764141026484
11749.267578125,-143.06411067143586
11825.5615234375,-146.27094633565144
11901.85546875,-117.86547877533619
11978.1494140625,-105.18880659074125
12054.443359375,-108.37034633544455
12130.7373046875,-130.91353290687772
12207.03125,-145.18766936050415
12283.3251953125,-146.3181029237293
12359.619140625,-146.31736532719623
12435.9130859375,-146.20457011021597
12512.20703125,-145.98208748509586
12588.5009765625,-145.6873404079125
12664.794921875,-145.41166610514912
